Qty,Value,Device,Package,Parts,Description,Bestellnumer Mouser
1,,620102131822,620102131822,AKKU2,"WR-WTB 2.00mm SMT Male Horizontal Shrouded Header, 2 Pins=>Code : Con_WTB_2.00_PCB_SMT_620102131822",
2,,C-EUC0805,C0805,"C4, C8","CAPACITOR, European symbol",
2,,JP2E,JP2,"SERVO, WS2812_JUMPER",JUMPER,
3,,PINHD-1X2,1X02,"BEC, MOTOR_A, MOTOR_B",PIN HEADER,
10,,PINHD-1X3,1X03,"REMOTE, SERVO0, SERVO1, SERVO2, SERVO3, SHARP0, SHARP1, SHARP2, SHARP3, WS2812",PIN HEADER,
5,,PINHD-1X4,1X04,"CAN, I2C, UART, US0, US1",PIN HEADER,
4,100k,R-EU_R0805,R0805,"R1.3, R1.5, R6.2, R6.4","RESISTOR, European symbol",
1,100n,C-EUC0805,C0805,C1.8,"CAPACITOR, European symbol",
3,100nF,C-EUC0603,C0603,"C3.1, C3.2, C3.6","CAPACITOR, European symbol",
2,100nF,C-EUC0805,C0805,"C1, C5","CAPACITOR, European symbol",
1,10k,R-EU_R0603,R0603,R3.2,"RESISTOR, European symbol",
6,10k,R-EU_R0805,R0805,"R1.1, R1.2, R1.11, R1.12, R1.13, R1.16","RESISTOR, European symbol",
1,10n,C-EUC0805,C0805,C1.9,"CAPACITOR, European symbol",
1,13k7,R-EU_R0805,R0805,R6.3,"RESISTOR, European symbol",71-CRCW0805-13.7K-E3
2,220uF/10V,CPOL-EUSMCC,SMC_C,"C1.3, C1.4","POLARIZED CAPACITOR, European symbol",
2,22k,R-EU_R0805,R0805,"R1.6, R6.5","RESISTOR, European symbol",
1,22uF,C-EUC0805,C0805,C3,"CAPACITOR, European symbol",
4,270R,R-EU_R0805,R0805,"R3.5, R3.6, R6.1, R6.6","RESISTOR, European symbol",
2,27R,R-EU_R0603,R0603,"R3.3, R3.4","RESISTOR, European symbol",
1,39k,R-EU_R0805,R0805,R1.4,"RESISTOR, European symbol",
1,"4,7µF",C-EUC0805,C0805,C3.3,"CAPACITOR, European symbol",
1,434111025826,434111025826,434121025816,SW2,"WURTH ELEKTRONIK  434111025826  Taster, 12 V, 50 mA, 260 N",
2,47pF,C-EUC0603,C0603,"C3.4, C3.5","CAPACITOR, European symbol",
3,4k7,R-EU_R0603,R0603,"R1, R2, R3.1","RESISTOR, European symbol",
1,500mA,L-EUL1812,L1812,F3.1,"INDUCTOR, European symbol",
1,6.9µH,WE-HCI_7050_744314650,WE-HCI_7030/7040/7050,L1,SMD Flat Wire High Current Inductor,
1,680nF,C-EUC0603,C0603,C3.7,"CAPACITOR, European symbol",
1,7.6µH,WE-HCI_7050_744314760,WE-HCI_7030/7040/7050,L2,SMD Flat Wire High Current Inductor,710-744314760
2,82pF,C-EUC0805,C0805,"C2, C7","CAPACITOR, European symbol",80-C0805X820J5G7800
1,91pF,C-EUC0805,C0805,C6,"CAPACITOR, European symbol",581-08055A910JAT2A
4,BC847A,BC847ALT1SMD,SOT23,"T1.1, T1.2, T1.3, T1.4",NPN Transistor,
1,DUALTB6612FNG,DUALTB6612FNG,DUALTB6612FNG,U$2,SparkFun Motor Driver - Dual TB6612FNG (1A),
1,ESP-WROOM-32_VIA,ESP-WROOM-32_VIA,ESP-WROOM-32-VIA,IC1,ESP-WROOM-32,
1,FT231XQ,FT231XQ,QFN20,IC3,FT231X,895-FT231XQ-R
1,GND,LSP10,LSP10,TP_GND,"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555",
2,GREEN,LEDSML0805,SML0805,"LED1, LED2",LED,
1,Green,LEDCHIPLED_0805,CHIPLED_0805,LED3,LED,
1,RIA_382_02,RIA_382_02,382_02,AKKU1,"RIA Typ 382 Wannenstecker, gewinkelt",
1,Red,LEDCHIPLED_0805,CHIPLED_0805,LED4,LED,
2,SS14M,SS14M,MICRO-SMA,"D1, D2","SS14 1A, 40V Surface Mount Schottky Barrier Rectifier",
2,TPS54302,TPS54302,SOT95P280X110-6,"U$3, U$4","TPS54302 4.5-V to 28-V Input, 3-A Output, EMI Friendly",595-TPS54302DDCR
1,USB,629105136821,629105136821,X1,"WR-COM SMT Horizontal 5 Contacts Micro USB Type B,5 pins=>Code : Con_I-O_COM_MicroUSB_629105136821",
2,WE-CBF,WE-CBF_0603(WB/HS),WE-CBF_0603(W=2.2),"L3.2, L3.3",WE-CBF SMD EMI Suppression Ferrite Bead,
1,WE-CNSW,WE-CNSW_1206,WE-CNSW_1206,L3.1,WE-CNSW SMD Common Mode Line Filter,
1,WE-TVS_824001,WE-TVS_824001,WE-TVS_SOT23-6L,D3.1,TVS Diode High Speed Series,
